date,Industry,NumberOfEmployee,high,open,low,close,volume,EmployeeIncreasePercentage,oi
3/1/2005,Manufacturing,452.2,3760,2.09,49.9,6.7,5.5,0.012312514,0
3/1/2005,Construction,227.7,2679,0.99,51.7,7,1.5,0.0066313,0
3/1/2005,Wholesale & Retail Trade,336,3130,2.1,43.4,1.8,2.2,0.006590773,0
3/1/2005,Transportation and Storage,167.9,3605,2.84,45.8,2.9,1.4,0.008408408,0
3/1/2005,Accomodation and Food Services,126.3,1397,1.08,80.3,2.2,-1.2,-0.009411765,0
3/1/2005,Information and Communications,63,4562,2.35,42,0.6,0,0,0
3/1/2005,Financial and Insurance Services,110.3,6959,3.12,42.7,0.9,2.1,0.019408503,0
3/1/2005,Real Estate Services,46,2869,1.35,45.4,2.1,0.1,0.002178649,0
3/1/2005,Professional Services,106.5,4221,1.86,43.1,1.7,-0.5,-0.004672897,0
3/1/2005,Administrative and Support Services,88.9,2291,1.16,52.1,6.8,1.6,0.018327606,0
3/1/2005,Community & Personal Services,485.7,3628,1.83,41.8,0.7,4.9,0.010191348,0
6/1/2005,Manufacturing,461.4,3127,2.09,50.3,7.2,9.2,0.02034498,0
6/1/2005,Construction,231.1,2400,0.99,52.1,7.3,3.4,0.014931928,0
6/1/2005,Wholesale & Retail Trade,338.6,2790,2.1,43.5,2,2.6,0.007738095,0
6/1/2005,Transportation and Storage,169.3,3219,2.84,45.8,3,1.4,0.008338297,0
6/1/2005,Accomodation and Food Services,126.7,1311,1.08,80.1,1.7,0.4,0.003167063,0
6/1/2005,Information and Communications,64.1,4458,2.35,42.1,0.7,1.1,0.017460317,0
6/1/2005,Financial and Insurance Services,112.4,5455,3.12,42.8,0.9,2.1,0.019038985,0
6/1/2005,Real Estate Services,46.3,2474,1.35,45.7,2.3,0.3,0.006521739,0
6/1/2005,Professional Services,109.2,4002,1.86,43.7,2.3,2.7,0.025352113,0
6/1/2005,Administrative and Support Services,93,2094,1.16,52.1,7.4,4.1,0.046119235,0
6/1/2005,Community & Personal Services,490,3362,1.83,42,0.8,4.3,0.008853202,0
9/1/2005,Manufacturing,469.4,3212,2.09,50.2,7.1,8,0.017338535,0
9/1/2005,Construction,233.3,2357,0.99,52.1,7.3,2.2,0.009519688,0
9/1/2005,Wholesale & Retail Trade,341.3,2788,2.1,43.5,1.8,2.7,0.007974011,0
9/1/2005,Transportation and Storage,170.1,3526,2.84,46,2.8,0.8,0.00472534,0
9/1/2005,Accomodation and Food Services,127.6,1294,1.08,81.4,2,0.9,0.007103394,0
9/1/2005,Information and Communications,65.3,4315,2.35,41.8,0.5,1.2,0.018720749,0
9/1/2005,Financial and Insurance Services,114.1,5269,3.12,43,0.9,1.7,0.015124555,0
9/1/2005,Real Estate Services,47.5,2529,1.35,45.1,1.9,1.2,0.025917927,0
9/1/2005,Professional Services,112.6,4005,1.86,43.7,2,3.4,0.031135531,0
9/1/2005,Administrative and Support Services,95.6,2095,1.16,49.9,4.9,2.6,0.027956989,0
9/1/2005,Community & Personal Services,493.9,3229,1.83,41.9,0.8,3.9,0.007959184,0
12/1/2005,Manufacturing,475.8,3882,2.09,50.4,7.3,6.4,0.013634427,0
12/1/2005,Construction,235,2617,0.99,51.5,6.9,1.7,0.007286755,0
12/1/2005,Wholesale & Retail Trade,346.4,3358,2.1,43.3,1.8,5.1,0.014942866,0
12/1/2005,Transportation and Storage,173,3680,2.84,46,3.1,2.9,0.017048795,0
12/1/2005,Accomodation and Food Services,133.2,1438,1.08,81.6,2.2,5.6,0.043887147,0
12/1/2005,Information and Communications,66.6,4876,2.35,42,0.6,1.3,0.019908116,0
12/1/2005,Financial and Insurance Services,115.9,6112,3.12,42.8,0.9,1.8,0.015775635,0
12/1/2005,Real Estate Services,48.4,3055,1.35,44.8,1.7,0.9,0.018947368,0
12/1/2005,Professional Services,114.6,4694,1.86,43.7,2,2,0.017761989,0
12/1/2005,Administrative and Support Services,97.4,2302,1.16,49.6,4.8,1.8,0.018828452,0
12/1/2005,Community & Personal Services,498.3,4595,1.83,42.1,0.7,4.4,0.008908686,0
3/1/2006,Manufacturing,486.9,3928,2.26,50.5,7.4,11.1,0.02332913,0
3/1/2006,Construction,240.6,2702,1.21,51.5,6.8,5.6,0.023829787,0
3/1/2006,Wholesale & Retail Trade,349.9,3196,2.18,43,1.7,3.5,0.010103926,0
3/1/2006,Transportation and Storage,174.7,3690,2.73,45.9,3,1.7,0.00982659,0
3/1/2006,Accomodation and Food Services,134.3,1471,1.18,38.6,1,1.1,0.008258258,0
3/1/2006,Information and Communications,67.8,4722,2.72,42,0.6,1.2,0.018018018,0
3/1/2006,Financial and Insurance Services,118,7557,3.24,42.8,0.9,2.1,0.018119068,0
3/1/2006,Real Estate Services,49.9,2924,1.44,43.7,1.2,1.5,0.030991736,0
3/1/2006,Professional Services,117.6,4351,2.14,43.8,2.1,3,0.02617801,0
3/1/2006,Administrative and Support Services,103,2309,1.08,49.3,4.9,5.6,0.057494867,0
3/1/2006,Community & Personal Services,506.6,3629,2.26,42,0.3,8.3,0.016656633,0
6/1/2006,Manufacturing,495.2,3236,2.26,50.5,7.3,8.3,0.017046621,0
6/1/2006,Construction,244.2,2354,1.21,52,7.3,3.6,0.014962594,0
6/1/2006,Wholesale & Retail Trade,353,2891,2.18,43.1,1.8,3.1,0.008859674,0
6/1/2006,Transportation and Storage,176.2,3242,2.73,46.1,3.1,1.5,0.008586148,0
6/1/2006,Accomodation and Food Services,135.8,1322,1.18,38.7,0.9,1.5,0.011169025,0
6/1/2006,Information and Communications,69.6,4688,2.72,42,0.6,1.8,0.026548673,0
6/1/2006,Financial and Insurance Services,121.3,5850,3.24,42.7,0.8,3.3,0.027966102,0
6/1/2006,Real Estate Services,51.2,2774,1.44,43.8,1.1,1.3,0.026052104,0
6/1/2006,Professional Services,120.4,4135,2.14,44.1,2.4,2.8,0.023809524,0
6/1/2006,Administrative and Support Services,107.3,2170,1.08,50.1,6.4,4.3,0.041747573,0
6/1/2006,Community & Personal Services,511.3,3524,2.26,41.9,0.4,4.7,0.009277537,0
9/1/2006,Manufacturing,506.6,3329,2.26,50.4,7.3,11.4,0.023021002,0
9/1/2006,Construction,249.8,2373,1.21,52.1,7.3,5.6,0.022932023,0
9/1/2006,Wholesale & Retail Trade,357.5,2895,2.18,43.3,1.8,4.5,0.012747875,0
9/1/2006,Transportation and Storage,177.5,3497,2.73,45.7,2.9,1.3,0.00737798,0
9/1/2006,Accomodation and Food Services,137,1293,1.18,38.9,0.9,1.2,0.008836524,0
9/1/2006,Information and Communications,70.8,4541,2.72,41.7,0.5,1.2,0.017241379,0
9/1/2006,Financial and Insurance Services,124.6,5537,3.24,42.6,0.9,3.3,0.027205276,0
9/1/2006,Real Estate Services,51.8,2905,1.44,44.5,1.5,0.6,0.01171875,0
9/1/2006,Professional Services,124.2,4220,2.14,44.3,2.7,3.8,0.031561462,0
9/1/2006,Administrative and Support Services,111.4,2123,1.08,50.3,6.3,4.1,0.038210624,0
9/1/2006,Community & Personal Services,517.4,3258,2.26,41.8,0.4,6.1,0.011930374,0
12/1/2006,Manufacturing,517.5,3976,2.26,50.5,7.4,10.9,0.021515989,0
12/1/2006,Construction,255.5,2639,1.21,52.2,7.4,5.7,0.022818255,0
12/1/2006,Wholesale & Retail Trade,365,3420,2.18,43.2,1.8,7.5,0.020979021,0
12/1/2006,Transportation and Storage,179,3672,2.73,45.5,2.5,1.5,0.008450704,0
12/1/2006,Accomodation and Food Services,145.8,1437,1.18,39.4,1,8.8,0.064233577,0
12/1/2006,Information and Communications,73.1,5031,2.72,41.9,0.6,2.3,0.032485876,0
12/1/2006,Financial and Insurance Services,127.3,6222,3.24,42.6,0.8,2.7,0.021669342,0
12/1/2006,Real Estate Services,52.9,3607,1.44,44.4,1.3,1.1,0.021235521,0
12/1/2006,Professional Services,128.4,4827,2.14,43.6,2,4.2,0.033816425,0
12/1/2006,Administrative and Support Services,113.2,2350,1.08,50.6,6.4,1.8,0.016157989,0
12/1/2006,Community & Personal Services,522,4914,2.26,41.7,0.3,4.6,0.008890607,0
3/1/2007,Manufacturing,527.6,4093,2.45,50.3,7.2,10.1,0.019516908,0
3/1/2007,Construction,260.9,2828,1.31,52.3,7.5,5.4,0.021135029,0
3/1/2007,Wholesale & Retail Trade,369.8,3375,2.27,43.2,1.7,4.8,0.013150685,0
3/1/2007,Transportation and Storage,178.8,3881,3.44,45.5,2.6,-0.2,-0.001117318,0
3/1/2007,Accomodation and Food Services,147.6,1531,1.42,39.5,1,1.8,0.012345679,0
3/1/2007,Information and Communications,74.3,4982,2.52,41.8,0.5,1.2,0.016415869,0
3/1/2007,Financial and Insurance Services,132.4,8227,3.58,42.4,0.8,5.1,0.040062844,0
3/1/2007,Real Estate Services,54.4,3637,1.75,44.6,1.3,1.5,0.028355388,0
3/1/2007,Professional Services,133.1,4610,2.51,43.5,1.9,4.7,0.036604361,0
3/1/2007,Administrative and Support Services,116.9,2425,1.06,50.3,6.3,3.7,0.032685512,0
3/1/2007,Community & Personal Services,532.9,3722,2.39,41.8,0.4,10.9,0.020881226,0
6/1/2007,Manufacturing,543.5,3377,2.45,50.4,7.3,15.9,0.030136467,0
6/1/2007,Construction,271.9,2473,1.31,52.6,7.8,11,0.042161748,0
6/1/2007,Wholesale & Retail Trade,373.7,3031,2.27,43.2,1.8,3.9,0.010546241,0
6/1/2007,Transportation and Storage,181.7,3413,3.44,45.8,2.9,2.9,0.016219239,0
6/1/2007,Accomodation and Food Services,152.2,1389,1.42,39.3,1.1,4.6,0.031165312,0
6/1/2007,Information and Communications,76.4,5008,2.52,41.9,0.6,2.1,0.028263795,0
6/1/2007,Financial and Insurance Services,136.8,6274,3.58,42.2,0.7,4.4,0.033232628,0
6/1/2007,Real Estate Services,57.8,3203,1.75,44.4,1.3,3.4,0.0625,0
6/1/2007,Professional Services,139.1,4361,2.51,43.7,2.1,6,0.045078888,0
6/1/2007,Administrative and Support Services,119.3,2284,1.06,48.5,5,2.4,0.020530368,0
6/1/2007,Community & Personal Services,540,4172,2.39,41.8,0.4,7.1,0.013323325,0
9/1/2007,Manufacturing,555.9,3484,2.45,50.8,7.7,12.4,0.022815087,0
9/1/2007,Construction,283.2,2503,1.31,52.1,7.4,11.3,0.041559397,0
9/1/2007,Wholesale & Retail Trade,378.4,3033,2.27,43.8,2.1,4.7,0.012576933,0
9/1/2007,Transportation and Storage,179.6,4014,3.44,45.2,2.4,-2.1,-0.011557512,0
9/1/2007,Accomodation and Food Services,154.7,1358,1.42,40,1.2,2.5,0.016425756,0
9/1/2007,Information and Communications,78.4,4756,2.52,41.7,0.4,2,0.02617801,0
9/1/2007,Financial and Insurance Services,146.4,5965,3.58,42.5,0.9,9.6,0.070175439,0
9/1/2007,Real Estate Services,59.7,2968,1.75,44,1.2,1.9,0.032871972,0
9/1/2007,Professional Services,145.3,4422,2.51,44.2,2.4,6.2,0.04457225,0
9/1/2007,Administrative and Support Services,121.2,2266,1.06,48.6,4.7,1.9,0.015926236,0
9/1/2007,Community & Personal Services,547.4,3494,2.39,41.9,0.4,7.4,0.013703704,0
12/1/2007,Manufacturing,566.8,4103,2.45,50.8,7.7,10.9,0.019607843,0
12/1/2007,Construction,295.9,2779,1.31,51.9,7.2,12.7,0.044844633,0
12/1/2007,Wholesale & Retail Trade,384.9,3610,2.27,43.5,2,6.5,0.01717759,0
12/1/2007,Transportation and Storage,184,3881,3.44,46,3.2,4.4,0.024498886,0
12/1/2007,Accomodation and Food Services,162.1,1491,1.42,40.6,1.5,7.4,0.047834518,0
12/1/2007,Information and Communications,79.4,5325,2.52,41.8,0.5,1,0.012755102,0
12/1/2007,Financial and Insurance Services,149.1,6607,3.58,42,0.7,2.7,0.018442623,0
12/1/2007,Real Estate Services,61.4,3614,1.75,44.1,1.3,1.7,0.028475712,0
12/1/2007,Professional Services,150.5,5139,2.51,44.1,2.3,5.2,0.035788025,0
12/1/2007,Administrative and Support Services,124.1,2496,1.06,48.8,5.2,2.9,0.023927393,0
12/1/2007,Community & Personal Services,554.1,4906,2.39,41.9,0.4,6.7,0.012239678,0
3/1/2008,Manufacturing,578.6,4270,2.39,50.5,7.5,11.8,0.020818631,0
3/1/2008,Construction,310.4,3129,1.26,52.2,7.4,14.5,0.049003042,0
3/1/2008,Wholesale & Retail Trade,389.4,3610,2.14,43.6,2,4.5,0.011691348,0
3/1/2008,Transportation and Storage,189.7,4063,3.12,45.9,3,5.7,0.030978261,0
3/1/2008,Accomodation and Food Services,165.5,1654,1.57,40.1,1.2,3.4,0.020974707,0
3/1/2008,Information and Communications,81.1,5326,2.51,41.8,0.5,1.7,0.021410579,0
3/1/2008,Financial and Insurance Services,152.3,8959,3.65,41.8,0.4,3.2,0.021462106,0
3/1/2008,Real Estate Services,64.2,4160,1.71,44,1.2,2.8,0.045602606,0
3/1/2008,Professional Services,156.6,5048,2.35,44.4,2.6,6.1,0.040531561,0
3/1/2008,Administrative and Support Services,128.5,2518,1.12,48.8,5.1,4.4,0.035455278,0
3/1/2008,Community & Personal Services,568.9,4510,2.3,41.7,0.4,14.8,0.02670998,0
6/1/2008,Manufacturing,588.7,3543,2.39,50.4,7.2,10.1,0.017455928,0
6/1/2008,Construction,332.8,2643,1.26,52.5,7.7,22.4,0.072164948,0
6/1/2008,Wholesale & Retail Trade,394.1,3223,2.14,43.7,2.1,4.7,0.012069851,0
6/1/2008,Transportation and Storage,194.4,3573,3.12,46.1,3.3,4.7,0.024775962,0
6/1/2008,Accomodation and Food Services,168.3,1416,1.57,40.8,1.3,2.8,0.016918429,0
6/1/2008,Information and Communications,82.5,5300,2.51,41.8,0.4,1.4,0.017262639,0
6/1/2008,Financial and Insurance Services,156.9,6602,3.65,42.1,0.7,4.6,0.030203546,0
6/1/2008,Real Estate Services,66.1,3153,1.71,44.1,1.4,1.9,0.029595016,0
6/1/2008,Professional Services,162.3,4757,2.35,44.3,2.5,5.7,0.036398467,0
6/1/2008,Administrative and Support Services,133.8,2367,1.12,49,5.6,5.3,0.041245136,0
6/1/2008,Community & Personal Services,576,3822,2.3,41.8,0.4,7.1,0.012480225,0
9/1/2008,Manufacturing,593.3,3678,2.39,50.6,7.3,4.6,0.007813827,0
9/1/2008,Construction,349.2,2690,1.26,52.7,7.9,16.4,0.049278846,0
9/1/2008,Wholesale & Retail Trade,397.4,3204,2.14,43.8,2.1,3.3,0.008373509,0
9/1/2008,Transportation and Storage,198.1,4178,3.12,46.1,3.2,3.7,0.019032922,0
9/1/2008,Accomodation and Food Services,172.5,1424,1.57,42.3,1.3,4.2,0.024955437,0
9/1/2008,Information and Communications,84.5,5037,2.51,41.6,0.4,2,0.024242424,0
9/1/2008,Financial and Insurance Services,160.3,6222,3.65,42.3,0.7,3.4,0.021669853,0
9/1/2008,Real Estate Services,67.4,3100,1.71,44.3,1.5,1.3,0.019667171,0
9/1/2008,Professional Services,167.1,4776,2.35,43.7,2.2,4.8,0.029574861,0
9/1/2008,Administrative and Support Services,136.3,2273,1.12,48,4.7,2.5,0.018684604,0
9/1/2008,Community & Personal Services,585.2,3671,2.3,41.9,0.4,9.2,0.015972222,0
12/1/2008,Manufacturing,586.3,4326,2.39,49,5.9,-7,-0.011798416,0
12/1/2008,Construction,360,2983,1.26,52.3,7.6,10.8,0.030927835,0
12/1/2008,Wholesale & Retail Trade,401.3,3728,2.14,43.8,1.9,3.9,0.00981379,0
12/1/2008,Transportation and Storage,197.7,4140,3.12,45.7,2.8,-0.4,-0.002019182,0
12/1/2008,Accomodation and Food Services,179,1520,1.57,41.8,1.2,6.5,0.037681159,0
12/1/2008,Information and Communications,85.1,5551,2.51,41.3,0.4,0.6,0.007100592,0
12/1/2008,Financial and Insurance Services,160.6,6830,3.65,42.2,0.7,0.3,0.001871491,0
12/1/2008,Real Estate Services,68.4,3637,1.71,44.2,1.5,1,0.014836795,0
12/1/2008,Professional Services,168.6,5435,2.35,43.4,1.8,1.5,0.008976661,0
12/1/2008,Administrative and Support Services,135.1,2514,1.12,47.4,4.2,-1.2,-0.008804109,0
12/1/2008,Community & Personal Services,590.2,4668,2.3,41.8,0.4,5,0.008544087,0
3/1/2009,Manufacturing,564.1,4322,2.33,48.3,5.1,-22.2,-0.037864574,0
3/1/2009,Construction,368.3,3210,1.28,52.1,7.4,8.3,0.023055556,0
3/1/2009,Wholesale & Retail Trade,400.5,3590,1.71,43.6,1.6,-0.8,-0.001993521,0
3/1/2009,Transportation and Storage,196.2,4239,2.51,45,2.2,-1.5,-0.007587253,0
3/1/2009,Accomodation and Food Services,176.3,1586,1.11,40.9,1,-2.7,-0.015083799,0
3/1/2009,Information and Communications,85.9,5264,2.26,41.5,0.2,0.8,0.009400705,0
3/1/2009,Financial and Insurance Services,158.7,8198,2.98,42,0.6,-1.9,-0.011830635,0
3/1/2009,Real Estate Services,69.6,3782,1.62,44.2,1.7,1.2,0.01754386,0
3/1/2009,Professional Services,169.7,5030,1.79,43.4,1.8,1.1,0.006524318,0
3/1/2009,Administrative and Support Services,135,2447,1.02,47.5,4.3,-0.1,-0.000740192,0
3/1/2009,Community & Personal Services,601.7,3958,2.03,41.8,0.3,11.5,0.01948492,0
6/1/2009,Manufacturing,548.2,3546,2.33,48.9,5.7,-15.9,-0.028186492,0
6/1/2009,Construction,373,2764,1.28,52.1,7.4,4.7,0.012761336,0
6/1/2009,Wholesale & Retail Trade,399.7,3206,1.71,43.9,2,-0.8,-0.001997503,0
6/1/2009,Transportation and Storage,194.3,3609,2.51,45.2,2.4,-1.9,-0.009683996,0
6/1/2009,Accomodation and Food Services,173.8,1386,1.11,41.6,1.3,-2.5,-0.014180374,0
6/1/2009,Information and Communications,85.9,5291,2.26,41.4,0.4,0,0,0
6/1/2009,Financial and Insurance Services,157.9,6410,2.98,42.1,0.6,-0.8,-0.005040958,0
6/1/2009,Real Estate Services,70.8,3037,1.62,44.1,1.7,1.2,0.017241379,0
6/1/2009,Professional Services,169.6,4698,1.79,43.5,1.8,-0.1,-0.000589275,0
6/1/2009,Administrative and Support Services,136.7,2280,1.02,47.5,4.2,1.7,0.012592593,0
